ENTIDAD,MUNICIPIO,LOCALIDAD,NOMBRE_DEL_PLANTEL,SUBSISTEMA,CCT
CHIAPAS,ACACOYAGUA,ACACOYAGUA,ESCUELA PREPARATORIA AGROPECUARIA BELISARIO DOMINGUEZ PALENCIA,BACHEST,07EBH0047Z
CHIAPAS,COMITÁN DE DOMÍNGUEZ,JUAN SABINES GUERRERO,TELEBACHILLERATO COMUNITARIO NUMERO 136 LEONARDO DA VINCI,TELEBACHCOMUNITARIOS,07ETK0136W
CHIAPAS,COMITÁN DE DOMÍNGUEZ,JUZNAJAB LA LAGUNA,TELEBACHILLERATO COMUNITARIO NUMERO 137 ROSARIO CASTELLANOS FIGUEROA,TELEBACHCOMUNITARIOS,07ETK0137V
CHIAPAS,COMITÁN DE DOMÍNGUEZ,YALTZI TRES LAGUNAS,TELEBACHILLERATO NUM. 97 BICENTENARIO,TELEBACH,07ETH0097X
CHIAPAS,COMITÁN DE DOMÍNGUEZ,ZARAGOZA LA MONTAÑA,TELEBACHILLERATO NUM 134 12 DE OCTUBRE,TELEBACH,07ETH0132M
CHIAPAS,COPAINALÁ,AGUSTÍN DE ITURBIDE,310 AGUSTIN DE ITURBIDE,EMSAD,07EMS0228V
AGUASCALIENTES,JESÚS MARÍA,LOS VÁZQUEZ,TELEBACHILLERATO COMUNITARIO LOS VAZQUEZ,TELEBACHCOMUNITARIOS,01ETK0091W
AGUASCALIENTES,JESÚS MARÍA,LOS VÁZQUEZ,TELEBACHILLERATO LOS VÁZQUEZ,TELEBACH,01ETH0062N
AGUASCALIENTES,JESÚS MARÍA,MARAVILLAS,TELEBACHILLERATO COMUNITARIO MARAVILLAS,TELEBACHCOMUNITARIOS,01ETK0092V
AGUASCALIENTES,JESÚS MARÍA,MARAVILLAS,TELEBACHILLERATO MARAVILLAS,TELEBACH,01ETH0063M
AGUASCALIENTES,JESÚS MARÍA,PASO BLANCO,TELEBACHILLERATO COMUNITARIO PASO BLANCO,TELEBACHCOMUNITARIOS,01ETK0023Z
AGUASCALIENTES,JESÚS MARÍA,PASO BLANCO,TELEBACHILLERATO PASO BLANCO,TELEBACH,01ETH0048U
AGUASCALIENTES,JESÚS MARÍA,SAN ANTONIO DE LOS HORCONES,TELEBACHILLERATO COMUNITARIO SAN ANTONIO DE LOS HORCONES,TELEBACHCOMUNITARIOS,01ETK0076D
