ENTIDAD,MUNICIPIO,LOCALIDAD,NOMBRE DEL PLANTEL,SUBSISTEMA,CCT
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO DEL DEPORTE,BACHEST,01EBH0003I
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO EN ARTE Y HUMANIDADES JOSE GUADALUPE POSADA,BACHEST,01EBH0004H
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,"BACHILLERATO GENERAL MILITARIZADO ""1ER. ESCUADRÓN DE LANCEROS DE AGUASCALIENTES""",COBACH,01EBH0005G
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,"BACHILLERATO GENERAL MILITARIZADO ""JOSÉ MARÍA CHÁVEZ""",BACHEST,01EBH0006F
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CBTIS 168,DGB (CAED),01DER0004M
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CBTIS 282,DGB (CAED),01DER0006K
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CEB 6/1,DGB (CAED),01DER0001P
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CECATI 164,DGB (CAED),01DER0007J
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CETIS 155,DGB (CAED),01DER0005L
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 168,UEMSTIS,01DCT0001F
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 195,UEMSTIS,01DCT0003D
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 281,UEMSTIS,01DCT0281F
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 282,UEMSTIS,01DCT0282E
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 283,UEMSTIS,01DCT0283D
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 284,UEMSTIS,01DCT0284C
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 39,UEMSTIS,01DCT0199F
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE EDUCACION MEDIA,AUTÓNOMA,01UBH0013G
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ESTUDIOS DE BACHILLERATO 5/1 LIC. JESUS REYES HEROLES,DGB,01DBP0001U
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ESTUDIOS DE BACHILLERATO 6/1 AGUASCALIENTES,DGB,01DBP0002T
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,CENTRO DE ESTUDIOS DE BACHILLERATO 8/4 FRIDA KAHLO,DGB,01DBH0004I
